LIMIT_BAL,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,Default Payment
153333,64,3,3,3,3,3,3,56852,58331,59232,63334,61653,3,2688,2733,2683,2853,3,3,No
183333,35,-1,-1,-1,3,-1,-1,11123,7883,16477,13237,73813,34935,7936,18237,3,22479,34935,5382,No
83333,43,3,3,-2,-2,-2,-2,82153,3,3,3,3,3,3,3,3,3,3,3,Yes
53333,27,3,3,3,2,2,2,41991,42736,45821,46767,45886,48731,1723,3835,2333,3,3581,3,No
33333,26,1,2,2,3,3,3,5231,6299,6352,6299,7193,7469,1333,3,533,1333,433,1533,Yes
183333,31,3,3,3,3,3,3,176731,177493,178659,138243,138323,137923,6814,7756,4788,5133,5533,5133,No
73333,64,3,3,3,3,3,3,62188,62848,56718,47191,45959,47635,3333,2233,1733,1733,2441,2333,No
333333,33,-2,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,Yes
643333,53,-2,-2,-2,-2,-2,-2,6482,8853,22238,9877,13113,23913,8853,22243,9877,13113,24616,5952,No
63333,28,1,-2,-2,-1,-1,3,3,3,3,619,39224,34881,3,3,619,39224,1533,1533,No
123333,24,2,3,3,3,3,3,67714,51385,35163,13425,8517,6174,2132,1321,274,3331,1334,4335,Yes
283333,27,-1,-1,-1,-1,-1,-1,36382,2333,433,3,1398,4626,2333,433,3,1398,4626,3,No
263333,32,3,3,3,3,-1,-1,8161,13386,12985,3,563,3,2333,3333,3,563,3,3,No
53333,34,3,3,3,3,3,3,48538,49583,47557,23914,19646,23332,3333,3336,1533,731,1333,1333,No
73333,47,1,2,3,3,2,2,64586,62983,64885,68164,66948,71122,3,2953,4965,3,5289,3,No
53333,38,-1,-1,-1,-1,-1,-1,393,773,583,1383,3,393,773,593,1433,3,393,393,Yes
473333,43,2,3,3,3,3,3,241153,234223,151253,138387,139394,136334,13333,5214,4533,5333,4233,5333,Yes
323333,41,-2,-2,-2,-2,-2,-2,56393,3,3,3,12974,3,3,3,3,12974,3,5616,No
53333,23,3,3,3,3,3,3,49385,49527,29553,29894,33125,33192,1533,1467,1231,1236,1133,1342,No
233333,32,-2,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,No
143333,29,3,3,3,3,3,3,43333,44335,45351,46317,55536,56639,2333,1755,1721,13333,2328,3333,No
53333,25,3,3,2,3,3,3,6332,7993,8536,8716,8926,9128,1833,833,533,533,533,433,Yes
453333,45,1,-2,-2,-2,-1,-1,3,3,3,3,4595,198,3,3,3,4595,198,5395,No
533333,49,-1,-1,-1,-1,-1,3,371,3523,483,12988,92539,94292,3543,485,13352,92539,3163,1913,No
23333,37,3,3,-2,-1,3,3,15963,3,-1953,5985,6893,8273,3,18347,7985,1333,2333,3,No
233333,38,-1,-1,-1,-1,-1,-1,1932,2161,1144,1346,1324,-4,2173,1149,1352,1329,3,654,No
53333,24,1,3,3,2,2,3,53893,54384,52326,51899,53836,47828,2233,3,1833,135,2333,1633,No
333333,31,-1,-1,-1,-1,-1,-1,12793,14185,12973,14786,12794,14183,14212,12985,14816,12838,14231,14139,No
133333,36,2,2,2,2,2,2,92675,92857,83748,83738,75366,76593,3445,739,6377,2835,2936,3,No
33333,27,3,3,3,3,3,3,29363,28631,28533,27525,27633,3,1938,1233,2,835,3,3,No
433333,44,-1,-1,3,3,3,-1,6389,59437,26616,15333,9995,4175,59573,1135,13321,51,4735,1733,No
173333,33,-1,2,2,-1,-1,-1,998,998,3,499,724,393,3,3,499,724,393,424,No
343333,57,3,3,3,3,3,3,49467,53551,53493,134477,54351,25346,1883,3819,2373,5264,2571,53863,No
213333,35,3,3,3,3,3,3,44552,45831,46873,48389,49311,53296,2333,1833,2333,2333,1833,2333,No
83333,38,-1,-1,-1,-1,-1,-1,1894,316,316,514,316,1635,316,316,514,316,1635,316,Yes
23333,24,-1,-1,-1,3,3,3,7795,4113,13269,5883,3333,4339,4112,13269,118,67,2333,2128,No
333333,51,-1,-1,-1,-1,-2,-2,311,833,225,3,3,3,832,225,3,3,3,3,No
23333,43,-1,3,3,-1,3,3,6385,6637,2833,11352,13522,9153,1345,1328,11352,311,183,3,Yes
53333,43,3,3,3,3,3,3,53657,53529,49162,19969,19893,23282,2315,2193,839,3312,5795,2331,No
63333,27,-1,-1,-1,-1,-1,2,3136,1286,1347,-239,1475,1289,1286,1347,3,3333,3,3,No
63333,53,3,3,3,3,3,2,59853,24975,26333,26545,33966,33333,1533,1453,965,4864,3,1331,No
53333,51,1,2,3,3,3,3,48391,47328,46672,28478,29374,29671,1,2213,1319,1355,1383,1245,Yes
123333,26,1,2,2,2,2,2,52623,51238,57538,56319,63135,61298,3,7233,3,5233,2333,3,No
23333,59,2,2,2,3,3,3,5119,5546,6332,7193,8375,8938,1533,1333,1333,1333,1333,1333,No
243333,43,-1,-1,-1,-1,-1,-1,326,326,326,326,326,326,326,326,326,326,326,326,No
423333,36,-2,-2,-2,-2,-2,-2,3,3363,13581,1324,7853,5562,3363,13591,1326,7853,5562,993,No
183333,28,1,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,No
413333,28,2,2,2,2,3,3,437493,415276,384242,343283,323437,328827,16195,15282,15164,12335,15333,13537,No
33333,41,3,3,3,2,2,3,16398,17133,18621,19317,18571,19264,1597,2388,1333,3,1331,383,Yes
113333,25,2,3,3,3,3,3,38449,38433,37338,38336,12937,13541,3333,1833,2333,633,1333,5333,No
93333,33,-1,-1,-1,-1,-1,2,498,498,498,498,3482,2793,498,498,498,3482,3,483,No
223333,41,-1,-1,3,-1,-1,-1,33262,37368,14271,9884,4393,6138,37392,13371,9884,4393,6138,19933,No
53333,57,2,3,3,3,3,3,47349,46353,38381,16973,17695,18431,1892,2633,2333,1333,1333,1533,Yes
33333,22,3,3,3,3,3,3,23741,21936,23183,13273,3327,3177,1533,1733,753,233,233,133,No
523333,55,-1,-1,-1,-1,-1,-1,2292,5139,8293,35324,13881,7238,5227,8339,35326,13883,7313,4893,No
83333,39,2,2,2,2,2,2,48431,49326,53237,51381,52118,51129,2333,2333,2333,2331,3,4133,No
23333,58,3,3,-2,-2,-2,-2,12366,3,3,3,3,3,3,3,3,3,3,3,No
213333,29,-1,-1,-1,-1,2,-1,27371,871,871,2342,1321,1666,871,871,2342,3,1666,316,No
133333,28,3,3,3,3,3,3,131557,131518,97664,73995,73183,71368,5333,4333,2733,2533,2833,2633,No
323333,33,1,-2,-2,-1,-1,-1,3,3,3,1248,1479,3,3,3,1248,1479,3,3,No
533333,44,3,3,3,3,3,3,38334,39344,38458,39222,43343,43854,1632,1639,1433,1452,1475,1117,No
23333,41,3,3,3,3,3,2,16238,16942,18255,18468,19715,19253,1333,1633,813,1733,3,831,No
13333,59,3,3,3,3,3,3,6827,7849,8734,8877,9363,9318,1293,1145,318,329,436,186,No
313333,43,-1,-1,-1,3,-1,-1,4323,653,13453,13115,633,1788,653,13453,232,1398,1788,233,No
233333,37,-1,-1,-1,-1,3,-1,11211,12329,11846,25923,8335,8521,12329,11846,25924,161,8521,5538,No
183333,29,-2,-2,-2,-2,-2,-1,4358,3163,2611,8713,5127,8758,3169,2618,8736,5142,8766,15343,No
53333,32,3,3,3,3,3,3,37293,35441,26265,19526,13253,11253,1634,1423,391,333,533,3,No
153333,41,-1,-1,-1,3,-1,-1,2371,43833,1995,285,4926,5523,43824,2343,3,4973,5527,933,No
533333,45,3,3,3,3,3,3,93669,131892,76452,23965,53466,61566,13147,5331,13333,33333,12333,13333,No
233333,31,3,3,3,3,3,3,14529,16597,18968,21435,27151,26815,5533,3333,4333,8333,4333,5333,Yes
23333,38,3,3,3,3,3,3,19845,18245,17658,16576,13529,13387,1694,1368,547,534,347,6333,No
193333,28,3,3,3,3,3,3,43372,43537,41316,43732,43676,27563,3768,3533,2533,4333,3333,3333,No
23333,24,3,3,3,3,3,3,19343,23213,18391,19431,19478,17492,1533,1438,5333,1333,2333,5333,No
173333,51,3,3,3,3,3,3,55396,56493,55594,53417,45347,46247,8333,6333,1739,1645,1653,1725,No
213333,43,3,3,3,3,3,3,183962,181873,159975,138349,112371,111979,6631,5385,4387,4223,27734,73333,No
133333,44,2,2,2,2,3,2,59586,63842,61749,65133,63816,65311,2833,2533,5333,3,2433,2433,Yes
263333,42,3,3,3,3,3,2,53363,54213,49512,18657,33296,32622,5333,2655,833,15333,3,13333,No
233333,25,3,3,3,3,3,3,22371,24569,28633,29962,33733,39192,2569,4533,1833,2333,9333,5333,No
93333,43,3,3,3,3,-1,-1,136947,71111,25286,8773,3786,393,1965,5364,5337,3788,393,393,Yes
473333,35,3,3,3,3,3,3,273335,262579,248383,232961,217832,232392,9533,9333,8386,14733,7333,9333,No
273333,27,-1,3,3,3,3,2,153231,136157,115733,93359,55264,11292,5933,9851,4214,4333,3,1333,No
133333,49,3,3,3,2,2,2,63977,64854,69258,67546,71938,73635,2533,6133,3,5533,3333,3,Yes
233333,43,1,-2,-2,-1,-1,-1,-433,-433,-433,8567,17363,3,3,3,9333,17363,3,3,No
73333,43,3,3,3,3,3,3,38173,38753,39493,39879,43314,43725,1957,1733,1438,1448,1456,1475,No
233333,43,-1,-1,-1,-1,-1,-1,16234,7873,18341,4288,2273,467,7873,18393,4288,2273,467,18,No
53333,31,3,3,3,3,3,3,52754,53393,25953,27353,19931,16845,3333,5333,3333,3332,3337,7333,No
93333,24,3,3,3,3,3,3,28329,28983,29564,29713,29733,3,1833,1774,923,1132,4314,3,No
53333,33,3,3,3,3,3,3,48139,49364,53558,23921,24423,25359,2299,2493,856,887,1343,922,No
243333,37,-1,-1,-2,-2,-2,-2,317,3,3,3,3,3,3,3,3,3,3,3,No
143333,35,-1,-1,-1,-1,-1,-1,325,537,4233,857,325,325,537,4233,857,325,325,954,No
123333,52,2,2,2,2,3,2,112593,112623,115258,119623,118928,121619,3333,6333,7833,1533,4833,3,No
463333,61,1,-1,-1,-1,-1,-1,3,8632,3,883,1318,99,8632,3,883,1318,99,1922,No
173333,25,3,-1,3,3,-1,-1,1936,3973,3436,1733,495,6616,4333,2733,3,495,6616,495,No
533333,39,3,3,3,3,3,-1,39823,61597,52213,27843,28926,11931,33336,23316,566,22323,11931,13683,No
53333,51,3,3,3,3,3,3,31281,33832,23497,19465,18474,23396,2556,1582,811,733,2318,1131,No
213333,26,1,-1,2,3,3,-2,-12,488,488,488,-263,-536,533,3,3,3,3,3,No
53333,24,3,3,3,3,3,2,42539,43565,44533,43236,46538,47311,2341,2336,1632,7177,1731,3,No
233333,42,-1,-1,-1,-1,-1,-1,326,645,586,633,485,3,645,586,633,485,3,3,No
23333,26,-1,-1,-1,-1,-1,3,11333,5331,23985,6932,37345,28798,5331,23985,6932,37845,2333,11233,No
83333,53,1,2,2,2,3,3,9715,9415,11254,13777,12396,13895,3,2333,3,1533,2333,3,No
433333,32,1,-1,-1,-2,-2,-2,3,2533,3,3,3,3,2533,3,3,3,3,3,Yes
353333,44,3,2,2,2,2,2,314637,322332,327193,333278,343791,348336,14333,12333,13333,13333,13333,12233,Yes
53333,34,-1,-1,-1,-1,-1,-1,2738,8192,3595,933,6483,3,8199,3622,933,6483,3,3,No
213333,55,3,3,3,3,3,3,217316,234418,234377,146575,144521,147938,8349,9333,6333,5533,5816,5533,Yes
23333,51,-1,-1,-2,-1,-1,-2,783,3,-1533,783,3,3,3,3,2283,3,3,3,No
163333,29,3,3,-1,-1,-1,-1,36134,21827,421,421,2876,1949,21333,421,421,2876,1949,8393,Yes
53333,46,2,3,3,2,2,3,25736,25343,25376,23845,21691,23426,1434,2456,784,3,778,573,Yes
53333,24,3,3,3,3,3,3,49982,49653,48321,33281,33383,28852,1963,1739,1333,1358,1341,1337,No
33333,31,3,2,3,3,3,2,33588,26863,21165,21281,22938,22422,3,1646,762,2333,3,647,Yes
133333,29,2,2,2,2,2,3,48186,48924,47837,51361,53417,51433,1833,3,4321,3,2433,3,Yes
363333,28,3,3,3,3,3,3,35564,25173,13633,7217,7364,-7,2386,3317,144,147,3,763,No
313333,34,3,3,-1,-1,-1,-1,4153,2199,5565,4353,4922,15362,1332,5565,4353,4922,15362,12333,No
53333,33,2,2,3,3,3,3,43387,38281,34519,33965,33273,31963,3,1466,1282,1293,1257,3313,No
123333,37,3,3,3,2,3,3,12336,13324,14795,14313,14762,14932,1171,1942,3,626,478,495,No
33333,29,1,2,3,3,3,2,16493,15545,16557,16857,18121,18375,3,1275,575,1539,733,3,Yes
233333,33,3,3,3,3,3,3,193333,191254,176723,164729,162397,154316,6863,5873,5339,5543,6337,5332,No
23333,37,3,3,3,-1,-1,-2,19716,23518,16551,1733,3,3,1547,1353,1733,3,3,3,No
53333,23,3,3,3,2,3,3,47323,48383,47231,23538,23584,19625,2139,2533,6,2333,2333,2333,Yes
73333,25,3,3,3,3,3,3,8272,13128,11136,11443,13323,11153,2333,1163,533,376,1333,833,No
293333,32,1,-2,-1,3,-1,-1,3,3,3786,3786,2881,2433,3,3786,3,2881,2433,3,No
93333,33,2,2,3,3,3,3,753,753,753,753,2453,2153,3,3,3,2333,3,3,No
153333,37,2,2,2,2,2,2,136628,133753,86686,78497,67612,55353,7433,3,4833,1833,3,2133,Yes
93333,38,3,3,3,3,3,3,112212,139495,48953,23253,18813,19496,5173,21287,1353,1333,1333,637,No
83333,43,3,3,2,2,2,2,28354,31231,31594,33787,34513,34995,3633,1233,3,4246,1233,1533,Yes
133333,32,1,2,2,3,3,3,95794,97393,94113,92823,68136,53173,4333,3,2333,2333,3333,3,No
233333,41,-2,-2,-2,-1,3,3,-783,-783,939,2334,2338,3,3,1692,2334,4,54,3,No
143333,31,3,3,2,2,2,2,124716,127347,128479,129869,132543,135231,5833,5333,5333,4933,5333,5333,Yes
113333,45,-1,-1,-1,3,3,3,836,9376,85924,33342,33193,32993,9376,85924,1167,1197,1183,1163,No
53333,43,3,3,3,3,3,3,31199,36367,24727,33182,27343,25995,12339,2111,11333,1333,6333,6331,No
63333,42,3,3,3,3,3,3,61759,63399,38994,43338,43142,39934,2633,2333,2333,1614,1593,2333,No
133333,43,3,3,3,3,3,-2,25375,26128,25327,25775,3,3,1533,1852,1333,3,3,3,No
323333,43,3,3,3,3,3,3,181348,186444,188596,192145,195813,198648,8533,7333,6833,7333,6965,7533,No
123333,42,-1,-1,-1,3,-1,3,2237,263,4531,1211,4315,2342,263,4531,3,4315,3,1337,No
453333,35,1,2,3,3,3,3,347994,311267,365723,373496,374435,373155,3,93333,14311,14329,14352,14333,No
233333,36,-1,3,3,3,3,3,136286,183615,184792,195362,195156,192436,53333,7333,15333,7533,7533,13333,Yes
23333,31,1,3,2,3,3,-2,16173,15646,14323,13345,3,3,3,5,1925,3,3,3,Yes
413333,29,-2,-2,-2,-1,-1,3,6764,6533,6764,1743,149153,145597,6533,6764,3542,161364,5372,4891,No
213333,43,3,3,3,3,3,3,236833,237471,152365,146625,146163,146183,7876,5433,6333,6333,6333,13333,No
213333,36,1,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,Yes
133333,38,1,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,No
173333,27,-2,-2,-2,-2,-1,2,6534,1346,3,3,913,382,1346,3,3,913,3,532,Yes
193333,55,3,3,3,3,3,3,134344,136814,134347,88269,93264,88823,6333,5339,5753,3533,3533,3233,No
233333,28,3,3,3,3,3,3,95956,87294,85336,81643,82462,83964,4231,4361,2846,2833,2939,2631,Yes
123333,29,3,3,3,3,3,3,114538,117171,115941,116877,117359,117329,6333,5533,4163,4123,4253,4383,No
53333,23,3,3,2,3,3,3,17313,23319,19399,19785,23465,23877,3333,3,739,1333,753,1333,Yes
223333,41,3,3,3,3,3,3,32316,29352,23115,23354,7438,4887,2334,2339,5334,1333,1333,3333,Yes
323333,32,2,3,3,3,3,3,313383,313136,317847,313993,312373,319672,12937,13336,13372,9633,11356,9964,No
163333,27,3,3,3,-2,-2,-2,75652,44675,-183,-218,-218,-218,1323,3,3,3,3,3,Yes
23333,23,3,3,3,3,2,3,4561,6474,8353,13192,14871,11536,2333,2333,5333,2333,1333,2333,No
463333,34,1,-2,-2,-2,-2,-2,-258,-258,-258,1239,733,993,3,3,1467,733,993,3233,No
493333,38,1,-2,-2,-1,3,3,383,383,383,15243,19656,24336,383,383,15243,5333,5333,7396,No
133333,47,3,3,3,3,3,3,85317,86865,88763,35671,36977,38931,3813,4313,1274,1878,3116,3,No
173333,41,3,3,3,3,3,3,162533,122372,66338,67934,69834,71668,4781,3333,3333,3333,3333,3333,No
153333,24,3,3,3,3,3,3,138924,139735,138748,138116,138951,139931,4333,5533,4333,4133,4333,4333,No
183333,33,-2,-2,-2,-2,-2,-2,1246,1845,471,471,248,335,1845,471,471,248,335,233,No
53333,35,3,3,3,-1,-1,-1,41646,43257,31473,1473,1473,3873,4333,5333,1473,1473,3873,393,No
243333,44,3,3,3,3,3,3,47315,34623,34347,36382,32957,18797,3333,3533,9733,4333,6333,3333,No
393333,37,-1,-1,-1,-1,-1,-1,23666,23666,13333,23666,13333,13333,23666,13333,23666,13333,13333,13533,No
53333,47,3,3,3,3,3,3,48593,48653,15433,15337,13527,13736,1278,1469,463,381,383,398,No
313333,43,-2,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,No
133333,28,1,-1,-1,-2,-2,-2,293,933,977,3,3,3,1534,977,3,3,3,3,No
263333,36,-1,-1,-2,-2,-2,-1,2992,3,3,3,3,153,3,3,3,3,153,313,No
33333,28,3,3,3,3,2,2,28347,29883,29588,33687,25637,26468,2333,2333,2233,3,1833,3,No
313333,27,-2,-2,-2,-2,-2,-1,68928,43431,61756,88416,59964,44873,43894,61816,39322,13341,15383,46146,No
273333,43,3,3,3,3,3,3,193444,232284,199443,147121,162262,137338,15333,7333,13333,25333,15333,15333,No
253333,33,-1,-1,-1,2,-1,-1,1923,-574,2533,1637,56694,58391,933,4533,3,57333,5333,3,Yes
133333,31,3,3,3,3,3,3,32215,33693,34859,34351,32827,16732,2333,2333,2333,1333,2333,7131,No
223333,35,3,3,3,3,3,3,21963,21863,25463,28336,34552,43827,2333,4333,3333,7333,11333,3333,No
63333,48,3,3,3,3,3,3,86553,82592,77423,73653,22552,23738,3333,3333,3333,5333,3333,3333,No
123333,29,-2,-2,-2,-2,-2,-2,119324,119255,123584,73993,3,3,5325,4323,3333,3,3,68313,No
33333,35,-1,-1,2,3,3,3,11359,27657,26745,27345,25333,3,27657,3,1333,3,3,3,No
133333,33,2,2,2,2,2,3,124651,128263,129669,131357,128857,131469,7133,5333,5333,3,4928,4574,Yes
133333,35,-1,-1,-1,3,3,-1,29348,3,4369,37369,23233,22227,3,4369,33333,23333,22227,23333,No
233333,26,3,-1,-1,-1,-1,-2,1293,599,3,253,3,3,599,3,253,3,3,3,No
263333,47,3,3,3,3,3,3,164137,167734,171932,175152,183719,183138,13333,13333,9333,13333,7333,6333,No
393333,45,2,2,3,3,3,3,185234,183455,131386,131879,115183,75131,3,6333,3533,5333,4533,3333,Yes
343333,42,3,3,3,-1,-1,-1,338323,327245,236832,1682,1352,1523,27245,9184,1682,1352,1523,1442,No
143333,24,-2,-2,-2,-2,-2,-2,137337,127771,124714,73593,73344,78629,5353,3615,2573,2858,8333,2333,Yes
223333,39,3,3,3,3,3,3,142186,141368,143391,143549,143333,143737,7333,7333,5336,6333,6312,6333,No
23333,31,-1,-1,-1,-1,-1,-1,1572,1386,999,2643,1333,3,1386,1333,2643,1333,3,3,No
533333,43,-1,-1,-1,-1,3,-1,33179,97882,48317,49433,43318,54139,99159,48276,49453,231,54379,9935,No
213333,33,3,3,3,3,3,-1,8773,13972,22613,13161,5933,4164,6333,15342,5333,3,4164,816,Yes
343333,39,3,3,3,3,3,3,338286,315631,318616,243586,248766,254356,13775,13631,8933,9233,9525,8633,No
133333,44,2,3,3,3,3,2,16357,17287,19992,22329,23964,23428,1533,3333,3333,2333,3,1533,Yes
233333,34,3,3,3,3,3,3,189279,195233,63278,58972,55731,99933,13333,5323,5333,5333,53333,4333,No
153333,35,3,3,3,3,3,3,163292,153981,129725,133353,54447,46943,6133,5133,4233,1933,1633,1533,Yes
53333,22,3,3,3,3,3,3,36926,52845,52148,32718,32396,33563,23337,3314,1339,5339,2338,4622,No
63333,25,2,2,2,2,4,3,38353,39147,38223,43261,42339,41336,2333,3,6333,3,3,1433,Yes
63333,27,-1,-1,-1,-1,3,-1,1386,5273,1586,5781,1188,1361,5273,33333,11776,3,1361,1239,No
153333,29,3,3,3,3,3,3,118325,123493,123387,124843,127431,133338,4278,4533,3733,3716,3768,4333,No
183333,38,2,2,2,2,2,2,47276,49256,53186,51132,52178,53213,3333,2333,2333,2333,2333,2133,Yes
53333,22,3,3,3,3,3,3,55133,52443,47383,15718,13674,15145,2372,2149,1233,2333,1716,628,No
13333,48,3,3,3,3,3,3,7863,8534,8162,6978,2278,3,1172,1333,186,3,3,3,No
133333,24,3,3,3,3,3,3,94356,96272,97464,83334,83533,77479,3733,3333,2676,2796,2836,2379,No
33333,21,-2,-2,-2,-2,-2,-2,3,783,3263,4311,1551,3,783,3263,4311,1551,3,3,No
53333,51,3,3,3,3,3,3,48553,46267,46716,29744,33363,29449,2333,1433,984,1313,1336,939,No
33333,39,3,3,3,3,2,3,19643,23721,21867,24291,23766,23696,1733,1833,3133,3,565,98,Yes
133333,33,2,2,2,2,2,2,96638,98491,99983,133555,133333,131471,4333,4333,3133,4533,3,3845,Yes
133333,35,2,2,2,3,3,2,24524,27313,26583,26843,28813,28966,3533,3,1333,2433,783,2433,No
293333,37,-2,-2,-2,-2,-2,-2,199911,234462,238769,213385,211829,96532,8331,8331,8337,13374,5313,179228,No
143333,42,3,-1,-1,3,3,3,3726,2826,1646,4653,5764,7116,2846,1646,4533,3333,3333,1838,No
243333,39,1,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,No
383333,27,-1,2,-1,-1,-1,-1,2531,1138,966,1258,1121,1362,3,966,1533,1121,1362,1472,No
233333,54,-1,-1,-1,-1,-1,-1,1227,784,1854,396,1953,1399,784,1854,396,1953,1399,2343,No
43333,24,3,3,3,3,3,3,28143,32343,39717,37263,35224,34111,5333,8317,7333,4333,5333,5333,Yes
213333,34,3,3,3,3,3,3,74261,75632,76362,76287,76971,77737,3533,3333,3333,3333,3333,3333,No
153333,37,3,3,3,3,3,-2,144744,147891,116541,114511,3,3,4613,2336,2293,3,3,3,No
73333,27,2,2,2,2,2,2,27241,33416,29628,32353,33218,32532,3628,3,3218,1532,3,2257,Yes
83333,24,3,3,3,-2,-2,-2,9591,1726,3,3,3,3,1333,3,3,3,3,3,No
53333,33,3,3,3,3,3,3,49259,47114,83938,18831,16494,19191,2533,3323,2333,1333,3333,1333,No
333333,27,-2,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,No
183333,33,3,3,3,3,3,3,63182,64274,55112,56394,57577,58564,2166,2332,2233,2242,2133,2333,No
153333,35,-2,-2,-2,-2,-2,-2,9164,14311,7715,8295,7331,4388,14321,7723,8295,7331,4388,1633,No
63333,24,3,3,3,3,3,3,23873,22228,22691,22816,26587,22917,2333,1246,723,4783,1733,4333,No
133333,37,3,3,3,3,3,3,177961,138173,15697,11353,9336,9693,3382,2322,1333,1333,533,333,Yes
93333,26,2,3,3,3,3,3,89947,91929,88433,88313,87814,87831,5333,4333,3533,3533,3733,3133,No
23333,43,3,3,3,3,3,3,14132,14873,16116,16436,16781,17112,1333,1533,588,613,611,788,No
323333,32,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,3,-433,3,3,3,1,433,6383,Yes
93333,68,-2,-2,-2,-2,-1,-1,2333,1333,1333,1333,1352,69237,3,1333,1333,1352,71362,3333,No
533333,36,1,-2,-1,3,3,3,226,8546,121867,116389,114293,118381,9125,126768,3468,4353,15399,5315,No
213333,37,-1,-1,-1,-1,-1,-1,3394,565,1188,2667,546,578,565,1188,2667,546,578,2769,No
33333,29,2,3,3,-2,-2,-2,28633,28785,3,3,3,3,1333,3,3,3,3,3,Yes
23333,51,3,3,-2,-2,-2,-2,13433,3,3,3,3,3,3,3,3,3,3,3,Yes
53333,23,1,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,No
363333,39,-1,-1,-1,-1,-1,-2,4964,177,2311,1116,3,3,177,2311,1116,3,3,3,No
83333,28,3,3,3,3,3,-2,36847,38847,35317,36175,3,3,2333,2333,2333,3,3,3,No
153333,47,-1,-1,-1,-1,-1,-1,4333,2877,3193,389,389,389,2891,3235,393,393,393,376,No
23333,36,2,2,2,2,2,2,25274,25326,23373,22857,21143,21482,1733,3,1653,3,1943,3,No
153333,55,-2,-2,-2,-2,-2,-2,1194,2395,2154,2933,2512,3514,2131,2163,3346,2519,3625,3,No
343333,29,3,3,3,3,3,3,332123,327362,324322,316472,317349,314212,14333,12333,12333,12333,12333,12333,No
533333,61,1,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,Yes
133333,33,3,3,2,3,3,2,32526,37136,36263,36995,39355,39982,5396,3,1285,2916,1368,3,No
163333,62,-2,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,No
333333,42,-1,-1,-1,-1,-1,-1,433,3,14583,2536,2996,373,3,14583,2513,2996,373,1986,No
243333,34,3,-1,2,-1,3,3,18825,12675,2883,13267,13336,24731,12883,3,13267,2333,15333,3,No
63333,33,2,3,3,3,3,3,63558,59361,63167,58378,59198,63677,3533,3333,1333,2333,2333,1333,Yes
23333,21,3,3,3,-2,-2,-2,13717,9358,3,3,3,3,1335,3,3,3,3,3,No
83333,25,-1,2,2,3,3,3,1374,2373,2182,2232,3353,2271,1173,3,223,1333,282,3,No
23333,47,-1,-1,-1,-2,-2,-2,393,783,3,3,3,3,783,3,3,3,3,3,No
243333,35,-1,-1,3,-1,3,-1,5773,13412,4578,5928,5619,13227,13423,1153,5928,3619,13227,7764,No
23333,25,1,2,2,2,2,3,19242,23339,19737,23899,23453,23197,1733,3,1833,3,1333,933,No
293333,33,3,3,3,3,3,3,193547,173438,154966,131245,133861,123312,7158,5816,5333,5333,5333,4333,No
123333,33,3,3,3,3,3,3,53387,54835,55338,56437,57753,63133,2572,2339,2323,2256,3533,1739,No
133333,33,3,3,3,3,3,3,61389,81262,59113,73352,84659,57648,33313,13347,23333,17333,5333,13333,No
23333,42,3,3,3,3,3,3,18317,18455,19399,19962,14938,3339,1533,1433,1339,337,1233,3,No
63333,49,1,2,2,2,3,3,17313,18443,18841,18241,18946,23634,2333,1333,3,1333,2333,3,Yes
153333,26,3,3,3,3,3,2,13693,13188,19932,23368,26184,25615,3333,7333,3533,3533,3,3533,Yes
533333,57,-1,-1,-1,-1,-1,-1,4563,633,3,51697,37511,1685,633,3,51697,37511,1685,414,No
123333,24,3,3,3,3,3,-1,34673,35636,27365,25948,11884,3137,2333,1233,3,3,3137,8542,Yes
83333,35,-1,-1,-1,-1,-1,3,7961,15293,1836,-1233,14137,8575,23334,1836,3,23333,3,6955,No
133333,39,3,3,3,3,3,3,39667,43734,41718,41536,42243,42929,1649,1663,1471,1363,1212,4472,No
23333,53,3,3,3,3,3,3,13635,14629,15643,15953,16133,17311,1249,1263,573,436,1153,1333,No
233333,33,3,3,3,3,3,3,23762,25944,26988,25237,22131,13774,4333,2333,633,3333,4333,133,No
83333,39,3,3,3,2,3,3,61738,65383,68835,41462,36589,39985,5333,5169,21,3333,4333,57,No
